               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10788,            0.034983,            0.045779,            0.040331,            0.055799,             0.04759,            0.015281,              0.0714,            0.029872,            0.030155,            0.070857,           0.0032381,           0.0032381
                   1,            0.077638,            0.034834,            0.031815,             0.27207,             0.42733,             0.23582,            0.096779,            0.072111,            0.024675,            0.023292,             0.04064,           0.0063546,           0.0063546
                   2,            0.074787,             0.02946,            0.027325,             0.28082,             0.46881,              0.2556,             0.11546,            0.064236,            0.017888,            0.019134,            0.010203,            0.009251,            0.009251
                   3,            0.070271,            0.029928,            0.022386,             0.27787,             0.61923,             0.37956,              0.1652,            0.054613,            0.017168,            0.015467,             0.00901,             0.00901,             0.00901
                   4,            0.064068,            0.025711,            0.020531,             0.38805,             0.57301,             0.49429,             0.25644,            0.051619,            0.016601,             0.01341,             0.00901,             0.00901,             0.00901
                   5,            0.057844,            0.023722,            0.018502,             0.43231,             0.66544,             0.54274,             0.28734,             0.04373,            0.016201,            0.012422,             0.00868,             0.00868,             0.00868
                   6,            0.053954,            0.025641,            0.016301,             0.40731,              0.6989,             0.52241,             0.28486,            0.043202,            0.016131,            0.011063,             0.00835,             0.00835,             0.00835
                   7,            0.051651,            0.024753,            0.015566,              0.6303,              0.7178,             0.68905,             0.37195,            0.038703,            0.015485,             0.01058,             0.00802,             0.00802,             0.00802
                   8,            0.050713,            0.024874,             0.01432,             0.57435,             0.75962,             0.68103,             0.37849,             0.03645,            0.015395,           0.0093029,             0.00769,             0.00769,             0.00769
                   9,            0.048143,            0.025207,            0.014156,             0.48878,             0.80723,             0.61789,             0.35218,             0.03694,            0.015116,           0.0091883,             0.00736,             0.00736,             0.00736
                  10,            0.045589,             0.02394,            0.013147,             0.67024,             0.80207,             0.74993,             0.44267,            0.032939,            0.014732,           0.0087498,             0.00703,             0.00703,             0.00703
                  11,            0.045984,            0.024965,            0.013014,             0.58424,               0.738,             0.73549,             0.42343,            0.033183,            0.014652,           0.0088304,              0.0067,              0.0067,              0.0067
                  12,            0.043095,            0.022886,            0.012546,             0.62398,             0.75969,             0.75301,             0.46083,            0.032319,             0.01444,            0.008309,             0.00637,             0.00637,             0.00637
                  13,             0.04333,            0.025378,            0.012544,             0.66557,             0.82419,             0.78235,              0.4913,            0.032094,             0.01424,           0.0070734,             0.00604,             0.00604,             0.00604
                  14,            0.041158,            0.023118,            0.011359,             0.72633,             0.83532,             0.81595,             0.50557,             0.03118,            0.014209,           0.0065421,             0.00571,             0.00571,             0.00571
                  15,            0.040454,            0.023386,            0.012156,             0.76387,             0.80854,             0.84154,             0.49967,            0.030006,            0.014038,            0.006535,             0.00538,             0.00538,             0.00538
                  16,            0.039454,            0.023186,            0.011096,             0.77724,             0.82375,              0.8647,             0.55637,             0.02901,            0.013805,           0.0063613,             0.00505,             0.00505,             0.00505
                  17,            0.039845,            0.022935,            0.010402,             0.82613,             0.85525,             0.88781,             0.57062,              0.0296,            0.013867,           0.0053635,             0.00472,             0.00472,             0.00472
                  18,            0.038003,            0.023666,            0.010704,             0.87238,             0.84697,             0.90713,             0.58445,            0.029212,            0.013601,           0.0049563,             0.00439,             0.00439,             0.00439
                  19,            0.038384,            0.024717,            0.009469,             0.87291,             0.86536,             0.91468,             0.59622,            0.027466,            0.013309,           0.0047887,             0.00406,             0.00406,             0.00406
                  20,            0.037685,            0.022571,             0.00929,             0.88879,             0.84024,             0.91053,             0.60067,            0.026778,            0.013177,            0.004702,             0.00373,             0.00373,             0.00373
                  21,            0.037273,            0.023042,           0.0093769,              0.8895,             0.88071,             0.92524,             0.61992,            0.026418,            0.013286,           0.0039472,              0.0034,              0.0034,              0.0034
                  22,            0.036161,            0.023102,           0.0090746,             0.89994,             0.87562,             0.92703,             0.63124,            0.026218,            0.013139,           0.0036901,             0.00307,             0.00307,             0.00307
                  23,            0.036944,            0.023318,           0.0089162,             0.88778,             0.88124,             0.92876,             0.63003,            0.025835,            0.013052,           0.0036537,             0.00274,             0.00274,             0.00274
                  24,            0.035326,            0.023597,           0.0083848,             0.90205,             0.88276,             0.93204,             0.63777,            0.025472,            0.012886,           0.0032717,             0.00241,             0.00241,             0.00241
                  25,             0.03559,            0.022926,           0.0076938,             0.91363,             0.87741,             0.93037,             0.63842,            0.025493,             0.01292,           0.0030817,             0.00208,             0.00208,             0.00208
                  26,            0.035294,            0.022055,           0.0074526,             0.91556,             0.88775,             0.93572,             0.64189,            0.024581,            0.012737,           0.0027938,             0.00175,             0.00175,             0.00175
                  27,            0.034085,            0.020894,           0.0077338,              0.9173,              0.8826,             0.93276,              0.6503,            0.024457,            0.012706,           0.0028258,             0.00142,             0.00142,             0.00142
                  28,            0.033356,            0.020621,           0.0081077,             0.93565,             0.88915,             0.93948,             0.65257,            0.024171,            0.012698,           0.0025322,             0.00109,             0.00109,             0.00109
                  29,            0.034033,            0.020546,           0.0076506,             0.93657,             0.89553,             0.94487,             0.66643,            0.023823,            0.012574,           0.0023225,             0.00076,             0.00076,             0.00076
